Pitcher Name,player_id,Games Played,IP,Batters Faced,Strikeout,Walks,K%,BB%,Earned Runs,Runs Allowed,Wins,Losses,ERA,Games Started,Avg. Exit Velo.,Sweet Spot%,Barrel%,Hard Hit%,EV50,Adj. EV50,Whiff%,Swing%,GB%
"deGrom, Jacob",594798,6,30.1,115,45,4,39.1,3.5,9,11,2,0,2.67,6,86.2,31.8,9.1,33.3,74.21817364,93.08927015,42.1,51.7,37.9
"Gonzales, Marco",594835,10,50,215,34,18,15.8,8.4,29,32,4,1,5.22,10,89.7,37.4,6.7,36.8,79.9982705,93.984348,19.8,48.6,40.5
"Lively, Ben",594902,19,88.2,383,79,25,20.6,6.5,53,53,4,7,5.38,12,89.1,38.4,8.3,36.2,78.6786138,93.97351584,20.7,45.4,39.1
"Neal, Zach",594943,14,27,124,25,14,20.2,11.3,20,22,1,1,6.67,2,87.7,49.4,12,41,74.15568439,94.70369122,23.1,49.6,34.9
"Okert, Steven",595345,64,58.2,247,73,24,29.6,9.7,29,31,3,2,4.45,2,88.2,43.2,9.5,34.5,77.366805,93.57987104,30.5,47.6,26.4
"Junis, Jakob",596001,40,86,367,96,21,26.2,5.7,37,42,4,3,3.87,4,88.5,32.9,8.2,35.4,77.20334713,93.95687872,27.2,46.7,42.8
"Stephenson, Robert",596112,60,52.1,201,77,16,38.3,8,18,20,3,4,3.1,0,87,31.5,13,32.4,75.2787387,93.54303299,46.3,53.7,34.3
"Weaver, Luke",596133,29,123.2,563,109,40,19.4,7.1,88,90,3,6,6.4,25,89.3,40.2,9.8,42,78.04239848,94.5086799,21.6,47.3,35.9
"Lawrence, Casey",596271,15,27.1,122,20,10,16.4,8.2,20,20,1,0,6.59,0,88.1,32.2,7.8,37.8,77.52245044,93.45089236,21.4,46.1,33.3
"Gomber, Austin",596295,27,139,603,87,43,14.4,7.1,85,88,9,9,5.5,27,90.5,31.3,8.9,44.3,79.77744665,94.9510922,19,47.5,42.8
"Ramirez, Nick",598286,32,40.2,172,28,9,16.3,5.2,12,17,1,2,2.66,0,85.8,36.6,6,28.4,74.67974612,92.47541677,24.1,46.7,48.5
"Leclerc, José",600917,57,57,233,67,28,28.8,12,17,19,0,2,2.68,0,85.9,29.4,8.1,32.4,74.11722971,92.83848382,35.4,48,28.7
"Machado, Andrés",600921,44,50,207,43,13,20.8,6.3,29,29,4,1,5.22,0,87.8,38.7,11.3,39.3,75.61467233,94.15728566,24,50.6,44
"Pivetta, Nick",601713,38,142.2,587,183,50,31.2,8.5,64,69,10,9,4.04,16,90.5,40.1,11.8,43.8,80.32762116,94.78097613,29.6,48.9,36.6
"Barlow, Scott",605130,63,68,299,79,34,26.4,11.4,33,39,2,6,4.37,0,85.5,39.2,4.4,29.8,73.85459944,92.64778898,30.8,43.9,44.2
"Bassitt, Chris",605135,33,200,826,186,59,22.5,7.1,80,88,16,8,3.6,33,87.5,36,8.3,35.3,75.81987463,93.66280941,21.9,47.3,42.9
"Brebbia, John",605154,40,38.1,161,47,14,29.2,8.7,17,21,3,5,3.99,10,90.7,31,10,44,81.2441848,94.4502274,27.4,47.6,30
"Chafin, Andrew",605177,63,51.1,224,63,28,28.1,12.5,27,30,3,4,4.73,0,86.8,38.6,9.8,32.6,74.91883292,93.36492546,31.8,43,40.2
"Clevinger, Mike",605182,24,131.1,549,110,40,20,7.3,55,56,9,9,3.77,24,88.1,34.9,7.2,35.9,77.25460072,93.56354382,23.2,49.1,31.3
"Davies, Zach",605200,18,82.1,377,72,39,19.1,10.3,64,67,2,5,7,18,89.7,35.2,8,42.4,78.34104863,94.84838473,22,40.3,44.3
"Edwards Jr., Carl",605218,32,31.2,142,24,17,16.9,12,13,14,1,3,3.69,0,86.3,33,4,29,76.0653006,92.2617121,21.6,47.4,45
"Fulmer, Michael",605242,58,57,237,65,28,27.4,11.8,28,29,3,5,4.42,1,86.4,37.3,6.3,30.3,74.98924352,92.91651859,33.5,46.2,39.4
"Holmes, Clay",605280,66,63,262,71,23,27.1,8.8,20,22,4,4,2.86,0,89.5,23,2.4,43,78.75946289,94.38774715,26.2,43.9,66.7
"Houser, Adrian",605288,23,111.1,481,96,34,20,7.1,51,56,8,5,4.12,21,90.5,30.9,7.1,46.3,80.08131437,94.91392507,18.4,45.2,47.1
"López, Jorge",605347,61,59,266,49,22,18.4,8.3,39,42,6,2,5.95,0,90.9,36.9,6.4,45.5,80.90191548,94.96357449,23.2,47.3,47.1
"Musgrove, Joe",605397,17,97.1,399,97,21,24.3,5.3,33,35,10,3,3.05,17,87.5,32.4,5.1,33.5,76.96321338,93.13451314,26,49.4,46
"Nola, Aaron",605400,32,193.2,793,202,45,25.5,5.7,96,105,12,9,4.46,32,89.3,36.3,8.3,38.5,78.53543572,94.14339004,26,49.3,43.1
"Romano, Jordan",605447,59,59,248,72,24,29,9.7,19,20,5,7,2.9,0,89,34,7.3,36.7,78.43683027,93.98318372,35.9,50.3,38
"Snell, Blake",605483,32,180,742,234,99,31.5,13.3,45,47,14,9,2.25,32,87.2,37,7.4,33.8,75.66726447,93.36491417,37.3,42.9,43.7
"Suárez, Andrew",605498,13,27.2,130,17,15,13.1,11.5,22,27,0,0,7.16,0,90.4,29.6,8.2,41.8,79.87820918,94.94597694,19.4,46.4,41.8
"Turnbull, Spencer",605513,7,31,145,24,15,16.6,10.3,25,26,1,4,7.26,7,88.4,35.9,8.7,36.9,77.37654804,93.96956852,21.9,45.2,47.6
"Woodruff, Brandon",605540,11,67,253,74,15,29.2,5.9,17,17,5,1,2.28,11,89,32.9,6.8,41.6,77.74225152,94.3454388,28.3,50.1,37.3
"Gallegos, Giovanny",606149,56,55,229,59,12,25.8,5.2,27,28,2,4,4.42,0,90.5,38.6,10.1,46.2,80.31315744,94.85444167,36.2,51.9,36.1
"Montero, Rafael",606160,68,67.1,298,79,29,26.5,9.7,38,40,3,3,5.08,0,87.9,33.7,9.1,41.7,75.21985484,94.49508747,29.9,49.1,40.6
"Payamps, Joel",606303,69,70.2,287,77,17,26.8,5.9,20,24,7,5,2.55,0,87.8,34.2,4.8,33.7,77.05642402,93.3022988,26.9,43.8,47.6
"Devenski, Chris",606965,38,42.1,173,42,11,24.3,6.4,21,24,6,4,4.46,0,90.3,31.1,13.4,42.9,79.71711797,94.76583769,29,48.2,41.2
"Rea, Colin",607067,26,124.2,517,110,38,21.3,7.4,63,65,6,6,4.55,22,90.4,34.5,7.7,43.3,79.91455422,94.82878625,24,47.9,44.1
"Rodón, Carlos",607074,14,64.1,286,64,28,22.4,9.8,49,51,3,8,6.85,14,91.6,37.6,12.2,41.8,82.47075032,94.82776803,26.3,53.4,27.5
"Weems, Jordan",607179,51,54.2,232,60,28,25.9,12.1,22,25,5,1,3.62,0,89.9,36.2,11.3,38.3,79.22853087,94.57972355,27,44.3,39
"Glasnow, Tyler",607192,21,120,485,162,37,33.4,7.6,47,52,10,7,3.53,21,90.4,33.3,11.6,44.6,79.67081965,95.02601498,35.3,48.6,50.9
"Garrett, Amir",607237,27,24.1,112,28,20,25,17.9,9,11,0,1,3.33,0,90.6,31.3,9.4,42.2,80.15080097,95.25374853,26.4,42.2,48.4
"Martinez, Nick",607259,63,110.1,461,106,40,23,8.7,42,45,6,4,3.43,9,84.7,30.5,7.1,29.9,72.64701796,92.40008957,28.6,46.9,54
"Bummer, Aaron",607481,61,58.1,267,78,36,29.2,13.5,44,45,5,5,6.79,0,89.2,27,2.7,44.6,77.47240986,94.91612772,32,40,60.1
"Freeland, Kyle",607536,29,155.2,677,94,42,13.9,6.2,87,96,6,14,5.03,29,90.2,35,8.7,43.5,79.78008045,94.64855979,17.1,51,40.9
"Lugo, Seth",607625,26,146.1,604,140,36,23.2,6,58,62,8,7,3.57,26,90.7,34.6,9.6,44.2,80.52290576,94.83782123,21.8,46.3,45.4
"Vasquez, Andrew",607755,42,48.1,219,43,23,19.6,10.5,18,21,2,1,3.35,0,85.7,30.8,5.5,30.8,74.76934859,92.34895681,17.5,42.9,47.3
"Estévez, Carlos",608032,63,62.1,281,78,31,27.8,11,27,34,5,5,3.9,0,90.4,33.5,6.6,44.3,80.18138627,94.71135103,27.5,51.9,31.7
"Fried, Max",608331,14,77.2,311,80,18,25.7,5.8,22,24,8,1,2.55,14,86.5,23.7,3.8,32.7,74.72541144,93.12430734,27.2,46.5,59.2
"Giolito, Lucas",608337,33,184.1,794,204,73,25.7,9.2,100,110,8,15,4.88,33,89.2,33.3,11,41.6,77.97955087,94.42069162,28.8,46.8,36.1
