Pitcher Name,player_id,Games Played,IP,Batters Faced,Strikeout,Walks,K%,BB%,Earned Runs,Runs Allowed,Wins,Losses,ERA,Games Started,Avg. Exit Velo.,Sweet Spot%,Barrel%,Hard Hit%,EV50,Adj. EV50,Whiff%,Swing%,GB%
"Suarez, Robert",663158,26,27.2,108,24,10,22.2,9.3,13,13,4,3,4.23,0,88.1,25.7,6.8,36.5,78.0878127,93.16596176,26.2,49.2,50
"Waldron, Matt",663362,8,41.1,173,31,12,17.9,6.9,20,20,1,3,4.35,6,86.7,33.1,10.8,38.5,74.94224108,93.19964423,18.9,47.8,40
"Feltner, Ryan",663372,10,43.1,201,38,28,18.9,13.9,28,29,2,4,5.82,10,86.1,33.8,4.5,29.3,74.10283636,93.03714053,21.5,44.3,43.6
"Thornton, Trent",663423,27,31.1,125,26,6,20.8,4.8,7,12,1,2,2.01,1,85.9,32.3,4.3,29,74.54124489,92.71884634,22,47.6,39.8
"Campbell, Isaiah",663462,27,28.2,120,33,13,27.5,10.8,9,9,4,1,2.83,0,88.3,34.2,9.6,41.1,77.2329346,93.96886548,28.6,46.9,39.7
"Hjelle, Sean",663546,15,29,139,31,13,22.3,9.4,21,25,2,1,6.52,0,88.6,36.3,6.6,41.8,76.65572244,94.53368878,22.3,44.4,53.8
"McClanahan, Shane",663556,21,115,469,121,41,25.8,8.7,42,42,11,2,3.29,21,89.7,35.8,9.8,42.3,78.37734211,94.79062408,33.4,51.2,44.6
"Moran, Jovani",663558,43,42.1,184,48,27,26.1,14.7,25,27,2,2,5.31,0,86.2,32.1,6.4,27.5,74.95744327,92.70597692,37,42.1,43.1
"Falter, Bailey",663559,18,80.2,347,60,20,17.3,5.8,48,55,2,9,5.36,14,89.6,34.1,9,39.3,78.95915015,94.35757099,18.3,50.6,40.4
"Davis, Noah",663562,8,30,146,26,15,17.8,10.3,29,30,0,4,8.7,6,89.3,29.7,5.9,38.6,79.2047086,93.8069757,19.8,47.1,47.5
"Lambert, Peter",663567,25,87.1,375,71,28,18.9,7.5,52,54,3,7,5.36,11,90.8,32.1,11.1,45.8,80.88690632,94.86637565,21.6,47.5,41
"Irvin, Jake",663623,24,121,530,99,54,18.7,10.2,62,66,3,7,4.61,24,90.4,33.1,10.3,39.6,80.19321484,94.67182425,17.8,43.7,42.5
"Ward, Thaddeus",663658,26,35.1,160,30,28,18.8,17.5,25,26,0,0,6.37,0,89.4,31,10,37,78.8910772,94.19118546,23.2,38.6,46
"Harris, Hogan",663687,14,63,284,56,28,19.7,9.9,50,51,3,6,7.14,6,90,35.2,9.2,44.9,79.32177794,94.8224515,23.1,46,39.3
"Lynch IV, Daniel",663738,9,52.1,223,34,16,15.2,7.2,27,29,3,4,4.64,9,88.2,29.7,7.6,32,78.19926741,93.19213396,24.6,48.8,39.5
"Woodford, Jake",663765,15,47.2,222,29,22,13.1,9.9,33,34,2,3,6.23,8,92.1,35.1,11.3,49.4,82.34846205,95.58683711,15.8,41.7,51.2
"Hoeing, Bryan",663773,33,70.2,304,53,25,17.4,8.2,43,45,2,3,5.48,7,90.5,35.3,9.4,44.2,80.38910766,94.64768901,21.9,43.8,45.1
"Sandoval, Patrick",663776,28,144.2,652,128,74,19.6,11.3,66,89,7,13,4.11,28,87.6,38,7,35.1,76.33447694,93.45607915,27.7,46.6,47
"Kowar, Jackson",663804,23,28,137,29,20,21.2,14.6,20,24,2,0,6.43,0,87.9,34.5,5.7,34.5,77.44301163,93.26703,26.3,44.2,44.8
"Hicks, Jordan",663855,65,65.2,285,81,32,28.4,11.2,24,30,3,9,3.29,0,86.7,27.4,5.4,35.7,73.76585675,93.86038416,28.2,41.4,58.9
"Pearson, Nate",663878,35,42.2,182,43,18,23.6,9.9,23,25,5,2,4.85,0,91.6,29.7,8.5,47.5,82.04529068,95.31705186,26.4,43.1,30.5
"Singer, Brady",663903,29,159.2,702,133,49,18.9,7,98,102,8,11,5.52,29,91,34.8,7.8,48.6,80.37926111,95.27544474,22.7,45.6,50.2
"Beck, Tristan",663941,33,85,354,68,21,19.2,5.9,37,40,3,3,3.92,3,88.1,32.3,7.6,35.7,77.48958092,93.42886073,23.6,49.2,41.8
"Holton, Tyler",663947,59,85.1,324,74,18,22.8,5.6,20,21,3,2,2.11,1,86.1,35.5,6.9,32.5,73.9034343,93.19342368,26.1,49.3,45.9
"Stephan, Trevor",663986,71,68.2,294,75,26,25.5,8.8,31,35,7,7,4.06,0,89.1,34,8.5,38.3,78.12594602,94.21419216,30.6,49.9,42.6
"Gonsolin, Tony",664062,20,103,435,82,40,18.9,9.2,57,61,8,5,4.98,20,90.2,35.9,11.4,41.8,80.06422586,94.4966905,21.5,49.4,36.3
"Fairbanks, Pete",664126,49,45.1,184,68,20,37,10.9,13,14,2,4,2.58,0,85.7,27.2,3.3,35.9,71.98379244,93.76037389,30.7,46.6,51.1
"Gibaut, Ian",664139,74,75.2,318,69,28,21.7,8.8,28,33,8,4,3.33,0,86.7,34.3,6,31.9,75.75806645,92.92461385,25.5,51.7,40.7
"Lucchesi, Joey",664192,9,46.2,195,32,17,16.4,8.7,15,17,4,0,2.89,9,88.8,34,10.4,38.2,76.99281329,94.40476381,17.4,43.8,47.9
"Clarke, Taylor",664199,58,59,266,65,24,24.4,9,39,42,3,6,5.95,2,89.6,36.4,12.7,41.6,78.22922698,94.73063994,27.6,50.3,31.8
"Maton III, Phil",664208,68,66,274,74,25,27,9.1,22,27,4,3,3,0,84.5,31.9,7.2,23.5,73.63354415,91.74159908,32.9,50,43.4
"Valdez, Framber",664285,31,198,808,200,57,24.8,7.1,76,86,12,11,3.45,31,91.5,30.9,8,45.6,81.84459087,95.10129987,26.7,47.2,55.2
"Moreta, Dauri",664294,55,58,239,76,24,31.8,10,24,26,5,2,3.72,0,86.7,36,8.1,33.1,75.08028194,93.17112784,33.6,44.5,40.4
"Javier, Cristian",664299,31,162,687,159,62,23.1,9,82,85,10,5,4.56,31,89.1,38.1,9.4,38.3,78.87717522,93.87623145,27.1,48,26.1
"Urquidy, José",664353,16,63,275,45,25,16.4,9.1,37,37,3,3,5.29,10,86.6,37.9,8.9,34,75.04540667,93.08130783,25,51.4,36.5
"Díaz, Alexis",664747,71,67.1,286,86,36,30.1,12.6,23,30,9,6,3.07,0,89.8,29.2,6.5,41.6,79.71214351,94.26126399,34.8,47,39.6
"Helsley, Ryan",664854,33,36.2,146,52,17,35.6,11.6,10,11,3,4,2.45,0,88.6,27.6,3.9,39.5,77.89145395,93.9362575,35,49.9,40.8
"Lawrence, Justin",664875,69,75,326,78,36,23.9,11,31,37,4,7,3.72,0,89.5,32.2,5.4,39,79.21633505,94.02726975,24.1,41.7,48.8
"Kremer, Dean",665152,32,172.2,735,157,55,21.4,7.5,79,85,13,5,4.12,32,89.7,36.9,8.9,40.3,79.05229775,94.3937839,24,47.7,40.2
"Medina, Luis",665622,23,109.2,495,106,57,21.4,11.5,66,73,3,10,5.42,17,89.3,36.4,6.2,41,78.64899238,94.17180141,24.5,46.1,43.8
"Peguero, Elvis",665625,59,61.1,252,54,26,21.4,10.3,23,25,4,5,3.38,0,89,30.4,3,38.1,78.13722869,94.04201845,31.1,46.5,56
"Cabrera, Edward",665795,22,99.2,434,118,66,27.2,15.2,47,48,7,7,4.24,20,87.6,24,6.9,35.4,76.18812631,93.59703473,30.9,43.1,55.7
"Assad, Javier",665871,32,109.1,449,94,41,20.9,9.1,37,38,5,3,3.05,10,87.6,31.2,9,41.2,74.98809033,94.25884609,20.7,42.9,47.3
"Garrett, Braxton",666129,31,159.2,659,156,29,23.7,4.4,65,68,9,7,3.66,30,90.2,32.2,7.8,45.1,78.93739891,95.01375896,25.3,47.2,49
"Ragans, Cole",666142,29,96,392,113,41,28.8,10.5,37,40,7,5,3.47,12,87.8,31.8,6.4,36.9,77.09636422,93.33006052,30.9,49.4,44.5
"Kauffmann, Karl",666154,11,35,158,16,16,10.1,10.1,32,34,2,5,8.23,3,93.4,36.1,9,49.2,85.29893016,95.7240481,17.2,45,41.8
"Lodolo, Nick",666157,7,34.1,166,47,10,28.3,6,24,24,2,1,6.29,7,90.8,36.3,12.7,40.2,80.3363972,95.3382382,30.4,46.9,47.1
"Manning, Matt",666159,15,78,316,50,21,15.8,6.6,31,37,5,4,3.58,15,90.9,33.5,10.9,43.9,81.28996219,94.69266924,18.8,46.8,38.5
"Thompson, Mason",666168,51,54,240,44,22,18.3,9.2,33,35,4,4,5.5,0,86.6,30,5.3,35.9,73.97167417,93.6439206,21.6,43.9,50.6
"Luzardo, Jesús",666200,32,178.2,741,208,55,28.1,7.4,71,79,10,10,3.58,32,89.5,34.7,9.5,40,78.47433885,94.42147959,31.4,48.6,41.1
"Manoah, Alek",666201,19,87.1,415,79,59,19,14.2,57,61,3,9,5.87,19,89.5,33.6,9,44.8,78.08341105,94.91259453,21.8,45.4,38.8
"Muller, Kyle",666205,21,77,372,56,39,15.1,10.5,65,65,1,5,7.6,13,92.1,35.4,10.9,49.6,81.51448287,95.88538107,21,48.4,43.4
"Wentz, Joey",666214,25,105.2,492,98,47,19.9,9.6,81,87,3,13,6.9,19,89.9,36.6,11.5,41.5,78.99335844,94.6334448,25.2,47.8,36.9
"Soriano, George",666277,26,52,228,52,23,22.8,10.1,22,26,0,0,3.81,1,89.9,34.5,7.4,38.5,79.74350865,94.3516164,28.8,44.5,43.2
"Balazovic, Jordan",666364,18,24.1,108,17,12,15.7,11.1,12,13,1,0,4.44,0,92.1,30.4,7.6,49.4,83.50657225,95.01916835,18.1,46.4,44.3
"Brash, Matt",666374,78,70.2,308,107,29,34.7,9.4,24,26,9,4,3.06,0,88.1,31.3,4.8,34.3,77.21464807,93.57311879,38.1,44.5,45.8
"Santos, Gregory",666619,60,66.1,289,66,17,22.8,5.9,25,29,2,2,3.39,0,88.9,32.8,1.5,34.8,79.5073986,93.27311196,30,49.4,52.2
"Brito, Jhony",666745,25,90.1,372,72,28,19.4,7.5,43,47,9,7,4.28,13,88.6,30.6,9,36.9,78.14311424,93.65291867,21.5,48.2,44.4
"Doval, Camilo",666808,69,67.2,281,87,26,31,9.3,22,32,6,6,2.93,0,88.9,26.9,5,41.3,77.39616646,94.41379323,33.3,47.8,52.5
"Frías, Luis",666818,29,31,139,26,17,18.7,12.2,14,14,1,0,4.06,0,89.7,30.9,8.5,38.3,78.7622766,94.47297053,26.4,48.4,41.5
"Cano, Yennier",666974,72,72.2,283,65,13,23,4.6,17,19,1,4,2.11,0,88.4,30.2,5.4,38.1,76.37485323,94.29112279,25.5,50.4,58.9
"King, John",667463,35,37.1,157,20,10,12.7,6.4,15,15,2,1,3.62,0,87.8,22.8,5.5,37,76.29808258,93.70477331,21.5,49.5,66.9
"Soriano, José",667755,38,42,185,56,23,30.3,12.4,17,22,1,3,3.64,0,92,31.3,9.1,44.8,83.00342479,95.22678263,36.2,42.9,52.5
"Nogosek, Stephen",668665,13,25.2,118,25,14,21.2,11.9,16,16,0,1,5.61,0,89.7,35.1,11.7,42.9,78.31037872,95.05929013,24,41.7,37.7
"Erceg, Lucas",668674,50,55,251,68,36,27.1,14.3,29,33,4,4,4.75,0,86,34,6.4,33.3,74.33559845,92.85964986,28.4,41.5,44
"Plesac, Zach",668676,5,21.1,105,14,5,13.3,4.8,18,20,1,1,7.59,5,91.7,30.2,8.1,43,81.26793476,95.44620393,19.4,54.3,52.3
"Gallen, Zac",668678,34,210,846,220,47,26,5.6,81,87,17,9,3.47,34,91.5,36.4,9.2,46.2,82.0249942,95.00387354,26.3,47.2,42.3
"Thompson, Zack",668868,25,66.1,287,72,25,25.1,8.7,33,35,5,7,4.48,9,90.3,35.6,6.9,43.6,79.98704609,94.69286913,23.7,43.8,45.7
"Greene, Hunter",668881,22,112,498,152,48,30.5,9.6,60,65,4,7,4.82,22,90.1,34.1,9,44.1,79.48679462,94.82653754,30.6,49.2,35.9
"Williams, Gavin",668909,16,82,345,81,37,23.5,10.7,30,32,3,5,3.29,16,88,34.1,5.4,38.6,76.80001152,93.71581704,27.8,47.5,38.6
"Ashcraft, Graham",668933,26,145.2,624,111,52,17.8,8.3,77,78,7,9,4.76,26,88.4,34,6.9,38.9,76.72041982,94.14381922,22.1,48.2,48
"Romero, JoJo",668941,27,36.2,147,42,10,28.6,6.8,15,17,4,2,3.68,0,87.6,31.9,2.1,38.3,76.31913435,93.48035826,36.3,47.8,58.5
"Hollowell, Gavin",668970,26,33.2,154,32,18,20.8,11.7,22,23,2,0,5.88,0,86.6,37.8,8.2,35.7,74.81995327,93.40566217,25.5,46.2,33.7
"Gore, MacKenzie",669022,27,136.1,582,151,57,25.9,9.8,67,71,7,10,4.42,27,89.9,35.1,12.1,43.7,78.41922712,94.96701245,27.9,48.5,39.1
"Wilson, Bryse",669060,53,76.2,314,61,22,19.4,7,22,26,6,0,2.58,0,88.6,36.7,7,35.8,78.11009402,93.61705397,18.5,48.7,37.6
"May, Dustin",669160,9,48,187,34,16,18.2,8.6,14,14,4,1,2.63,9,89,29.6,5.2,40,78.71302118,93.81145059,15.8,47.3,44.4
"Nelson, Ryne",669194,29,144,619,96,46,15.5,7.4,85,87,8,8,5.31,27,90.8,37.1,11.6,42.7,80.70390881,94.89792153,20.3,49.8,37.5
"Burnes, Corbin",669203,32,193.2,784,200,66,25.5,8.4,73,77,10,8,3.39,32,86.4,31,5.3,32.4,74.85654949,92.97463159,28.7,46.3,44.1
"Akin, Keegan",669211,24,23.2,112,27,7,24.1,6.3,18,22,2,2,6.85,1,90.7,42.3,11.5,48.7,79.6037,95.38062395,24.6,53.1,35.9
"Morgan, Eli",669212,61,67.1,299,75,24,25.1,8,30,37,5,2,4.01,0,86,32.7,9,32.3,73.54322367,93.21153235,28.2,51.7,41.2
"Lee, Dylan",669276,24,23.2,101,24,8,23.8,7.9,11,14,1,0,4.18,1,88.5,42,11.6,39.1,77.22609029,93.99650269,30,53.7,40.6
"Gilbert, Logan",669302,32,190.2,770,189,36,24.5,4.7,79,82,13,7,3.73,32,90.5,35,9,44.6,80.44648539,94.74616915,26.3,52.2,42.2
"Wells, Tyler",669330,25,118.2,470,117,34,24.9,7.2,48,50,7,6,3.64,20,89,32.1,11.7,38.7,77.86953981,94.1918874,26.3,47.2,33
"Skubal, Tarik",669373,15,80.1,310,102,14,32.9,4.5,25,28,7,3,2.8,15,88.5,24.6,4.2,40.3,76.82327128,94.32296511,31.3,53,51.8
"Mlodzinski, Carmen",669387,35,36,152,34,18,22.4,11.8,9,14,3,3,2.25,1,88.7,35.4,4,41.4,77.2524072,94.15969081,21.4,45.4,47.5
"Lambert, Jimmy",669424,35,37.2,172,41,20,23.8,11.6,22,26,2,3,5.26,1,91.1,40,12.7,46.4,79.7350163,95.85720963,27.1,45.2,34.5
"Englert, Mason",669438,31,56,253,41,17,16.2,6.7,34,39,4,3,5.46,1,91.4,38.9,9.8,44.6,81.5790433,95.15536551,23.6,51.3,40.4
"Bieber, Shane",669456,21,128,533,107,34,20.1,6.4,54,56,6,6,3.8,21,91.6,34.4,7.8,47.8,81.65811974,95.36187707,24.2,46.1,47.5
"Nelson, Kyle",669459,68,56,239,67,14,28,5.9,26,30,7,4,4.18,2,89.6,39.5,9.6,39.5,79.42324066,94.13919318,30.4,52.5,39.5
"Liberatore, Matthew",669461,22,61.2,275,46,25,16.7,9.1,36,42,3,6,5.25,11,90.1,35.7,8.5,42.7,79.49538162,94.74873697,18.7,44.9,43.7
"Pallante, Andre",669467,62,68,302,43,30,14.2,9.9,36,37,4,1,4.76,0,89,19.5,3.5,41.6,77.54385571,94.41194518,18.2,45.3,77
"Long, Sam",669674,40,45,199,32,21,16.1,10.6,28,29,0,1,5.6,1,89.1,32.4,9,37.9,79.42459944,93.56811357,20.1,48.2,43.4
"Murphy, Chris",669684,20,47.2,212,49,17,23.1,8,26,27,1,2,4.91,0,87.1,34.5,6.9,33.1,76.34027366,92.99292681,22.4,47.8,44.8
"Wesneski, Hayden",669713,34,89.1,379,83,32,21.9,8.4,46,50,3,5,4.63,11,88.7,37.3,12.3,38.1,77.29845359,94.21268251,22.7,44.6,41.2
"Hernandez, Jose",669796,50,50.2,223,62,22,27.8,9.9,28,30,1,3,4.97,0,89.2,34.8,8.7,34.8,78.06358529,94.33774919,29.3,45.6,39.9
"Blanco, Ronel",669854,17,52,226,52,28,23,12.4,26,29,2,1,4.5,7,88.5,34,11.8,34.7,77.82054778,93.64306021,33,51.2,34.7
"Kirby, George",669923,31,190.2,757,172,19,22.7,2.5,71,74,13,10,3.35,31,89.2,32,7.5,40.9,78.35045527,94.24979479,22.9,54.5,44.6
"Scholtens, Jesse",669947,26,85,377,58,30,15.4,8,50,54,1,9,5.29,11,89.3,35.5,8,37.6,79.28477161,93.69475559,20.8,45.2,41.1
"Rosenberg, Kenny",670046,7,33,146,29,14,19.9,9.6,14,14,2,2,3.82,3,88,29.4,6.9,30.4,76.98620373,93.52438637,23.3,47.3,44.1
"Holderman, Colin",670059,58,56,240,58,20,24.2,8.3,24,25,0,3,3.86,0,89.1,28.1,5,43.1,77.63394275,94.45329019,23.2,47.7,53.8
"Francis, Bowden",670102,20,36.1,136,35,8,25.7,5.9,7,7,1,0,1.73,0,90,35.9,10.9,41.3,80.04558239,94.26847747,23.2,49.5,35.9
"Oller, Adam",670124,9,19.2,101,13,12,12.9,11.9,22,24,1,1,10.07,1,91.9,44,9.3,46.7,82.08038211,95.62862427,20.7,44.7,30.7
"Schreiber, John",670167,46,46.2,204,53,25,26,12.3,20,22,2,1,3.86,2,89.3,32.8,6.6,39.3,78.35926966,94.18810297,24.5,44.2,43.4
"Winckowski, Josh",670174,60,84.1,367,82,31,22.3,8.4,27,34,4,4,2.88,1,89.4,30.3,6.4,41,79.12233576,93.985863,26.2,49.4,51.4
"Bednar, David",670280,66,67.1,277,80,21,28.9,7.6,15,22,3,3,2,0,88,29.5,5.2,40.5,76.90082318,93.66531935,32.8,54.1,42.2
"Oviedo, Johan",670912,32,177.2,781,158,83,20.2,10.6,85,91,9,14,4.31,32,88.6,32.2,7.6,40.2,77.1847736,94.17368787,26,46.5,44.6
"Richards, Trevor",670950,56,72.2,315,105,35,33.3,11.1,40,41,2,1,4.95,3,88.5,38.7,10.4,37.6,77.59265093,93.89933936,36.8,47.6,31.8
"Ramirez, Yohan",670990,31,38.1,176,35,17,19.9,9.7,18,21,1,0,4.23,0,86.8,24.8,4.4,31.9,76.12049018,92.87253655,20.6,40.2,59.3
"Abbott, Andrew",671096,21,109.1,459,120,44,26.1,9.6,47,47,8,6,3.87,21,91.2,36.7,9.2,42.5,82.09058324,94.48392717,25.5,46.8,29.9
"Allen, Logan",671106,24,125.1,537,119,48,22.2,8.9,53,55,7,8,3.81,24,88.9,34.2,7.6,39.1,77.88202857,94.24561284,24,47.7,42.7
"Foley, Jason",671345,70,69,276,55,15,19.9,5.4,20,21,3,3,2.61,0,88.2,29.3,4.4,42,75.64732049,94.55293714,17.9,48.4,56.6
"Bradley, Taj",671737,23,104.2,460,129,39,28,8.5,65,69,5,8,5.59,21,91.2,37.5,10.7,46.4,80.56777855,95.26480259,24.9,50.7,36.4
"Detmers, Reid",672282,28,148.2,644,168,60,26.1,9.3,74,81,4,10,4.48,28,89.8,37.2,6.2,41.4,79.2733503,94.45708152,27.1,48.8,37.2
"Pérez, Cionel",672335,65,53.1,247,44,27,17.8,10.9,21,30,4,2,3.54,0,89.2,21.5,2.9,41.9,77.69821595,94.50753405,19.8,46.2,62.8
"Ort, Kaleb",672391,21,23,107,24,9,22.4,8.4,16,19,1,2,6.26,2,90.4,31.5,12.3,39.7,80.32478029,94.882021,19.9,48.2,32.9
"Hernández, Carlos",672578,67,70,301,77,32,25.6,10.6,41,43,1,10,5.27,4,90.2,40.3,9.9,44.5,80.35473158,94.3348118,30.2,51.8,33
"Zerpa, Angel",672582,15,42.2,182,36,8,19.8,4.4,23,24,3,3,4.85,3,90.4,30.6,8.2,45.5,79.83869773,94.96537153,19.9,49.6,50.7
"Contreras, Roansy",672710,19,68.1,302,55,32,18.2,10.6,50,50,3,7,6.59,11,90.5,37.9,8.4,44.9,79.7712734,94.96442193,26.5,47,39.3
"Adon, Joan",672851,12,51.2,240,48,24,20,10,37,37,2,4,6.45,10,91.1,36.4,11.5,48.5,80.30577061,95.62181828,21.8,47.6,38.2
"Senga, Kodai",673540,29,166.1,694,202,77,29.1,11.1,55,60,12,7,2.98,29,89,31.5,6.8,40.6,77.90131103,94.28481415,29.7,45.2,44
"Bradford, Cody",674003,20,56,234,51,12,21.8,5.1,33,33,4,3,5.3,8,90.9,37.1,11.8,43.5,80.27554464,95.10417494,22.1,48.9,34.1
"Henry, Tommy",674072,17,89,381,64,35,16.8,9.2,41,42,5,4,4.15,16,87.9,33.8,7.6,32.4,77.31101094,93.32547482,22.3,48.7,36.7
"Bido, Osvaldo",674370,16,50.2,236,48,21,20.3,8.9,33,35,2,5,5.86,9,87.5,37.1,4.4,37.1,76.65802165,93.27310713,22.7,45,35.8
"Curry, Xzavion",675540,41,95,404,67,30,16.6,7.4,43,47,3,4,4.07,9,91.7,38.4,7.5,45.2,82.89475467,94.83629307,20.8,48.9,31.8
"Grove, Michael",675627,18,69,302,73,19,24.2,6.3,47,47,2,3,6.13,12,90,40.6,9.2,42,78.95529923,94.87688744,27.2,49.5,39.6
"Strider, Spencer",675911,32,186.2,763,281,58,36.8,7.6,80,85,20,5,3.86,32,88.5,40.2,8.2,36.1,77.7258957,93.78433377,38.6,53,34.9
"Karinchak, James",675916,44,39,171,52,28,30.4,16.4,14,18,2,5,3.23,0,90.4,38.6,12.5,38.6,81.01982227,94.23302782,29.8,40.8,28.4
"Bolton, Cody",675989,16,21.1,107,22,15,20.6,14,15,15,1,0,6.33,0,92.6,42,10.1,43.5,84.07642576,95.1506103,23.3,41.5,39.1
"Butto, José",676130,9,42,179,38,23,21.2,12.8,17,17,1,4,3.64,7,90,25.4,2.5,44.1,79.25698172,94.80352422,28.8,45.4,41.5
"Walker, Ryan",676254,49,61.1,263,78,24,29.7,9.1,22,25,5,3,3.23,13,85.1,32.7,4.4,26.4,73.9803257,92.2076614,32,45.5,44
"Abbott, Cory",676265,22,39.1,184,40,20,21.7,10.9,29,29,1,2,6.64,0,90.9,38.3,11.7,43.3,81.58971167,94.56314992,26.1,47.9,39.2
"Miller, Bobby",676272,22,124.1,505,119,32,23.6,6.3,52,53,11,4,3.76,22,88.3,33.3,6,37.6,77.30412302,93.81218006,26.7,48.2,47.7
"Garcia, Robert",676395,25,32,127,33,12,26,9.4,13,16,2,2,3.66,0,85.1,29.6,3.7,30.9,72.08401821,93.08252577,24.3,50.4,49.4
"Bibee, Tanner",676440,25,142,585,141,45,24.1,7.7,47,49,10,4,2.98,25,88.9,37.8,6.1,38.1,78.01009352,94.07053338,26.3,47.2,37.3
"Whitlock, Garrett",676477,22,71.2,304,72,13,23.7,4.3,41,43,5,5,5.15,10,90,37.5,10.2,42.6,79.25221796,94.71428079,28.1,51.2,44
"Faucher, Calvin",676534,17,25.2,120,25,12,20.8,10,20,20,1,1,7.01,4,90,35.4,12.2,45.1,78.06112927,95.0426789,23,47.3,48.8
"Fleming, Josh",676596,12,51.2,221,25,19,11.3,8.6,27,29,2,0,4.7,3,90.7,28.8,5.6,48.6,79.82297557,95.25988114,17.6,46.4,61.6
"Sears, JP",676664,32,172.1,735,161,53,21.9,7.2,87,90,5,14,4.54,32,88.6,32.7,11.1,38.4,77.25363428,94.08495204,24.7,51,30.5
"Cosgrove, Tom",676680,54,51.1,205,44,19,21.5,9.3,10,12,1,2,1.75,0,83.9,24.8,3.6,25.5,71.68664373,92.16493887,24.9,46.1,41.6
"Vest, Will",676684,48,48.1,199,56,13,28.1,6.5,16,18,2,1,2.98,4,90.2,35.7,5.4,45,80.10636692,94.69858713,24.3,47.6,44.2
"Crawford, Kutter",676710,31,129.1,527,135,36,25.6,6.8,58,59,6,8,4.04,23,87.8,30.5,7.7,35.3,76.35521046,93.71216957,26.8,52.4,35
"Marinaccio, Ron",676760,45,47.1,205,56,27,27.3,13.2,21,24,4,5,3.99,0,88.6,42.1,11.4,36.8,76.60798982,94.55151491,28.2,46.8,39.5
"Winn, Keaton",676775,9,42.1,172,35,8,20.3,4.7,22,22,1,3,4.68,5,92.4,26.8,10.6,48,83.09906817,95.59938681,30.7,52.7,59.3
"Nardi, Andrew",677053,63,57.1,237,73,21,30.8,8.9,17,18,8,1,2.67,0,84.6,30.2,6.5,27.3,72.23922397,92.48397507,28.5,50.6,45.3
"Garcia, Luis",677651,6,27,115,31,10,27,8.7,12,12,2,2,4,6,86.8,32.9,6.8,32.9,75.33696056,93.17347208,31,49.9,27.4
"Bruihl, Justin",677865,27,28,121,22,11,18.2,9.1,17,18,1,0,5.46,0,90.2,32.9,5.9,44.7,78.88923233,95.31623541,24.3,46.1,49.4
"Cecconi, Slade",677944,7,27,111,20,4,18,3.6,13,13,0,1,4.33,4,91,35.3,10.6,47.1,81.25328167,94.96563893,18.3,48.3,38.8
"Weathers, Ryan",677960,15,57.2,257,43,29,16.7,11.3,42,44,1,8,6.55,12,89.2,33.7,7.6,34.8,78.82338867,93.97086889,23.6,43.9,38
"Kerr, Ray",678061,22,27,114,35,9,30.7,7.9,13,15,1,1,4.33,0,87.8,39.1,11.6,46.4,74.25869088,94.82085853,32.2,47.3,40.6
"Bello, Brayan",678394,28,157,668,132,45,19.8,6.7,74,77,12,11,4.24,28,89.5,28,7,44.3,78.00724417,94.76008503,24.4,48.4,56.3
"Ferrer, Jose A.",678606,39,34,142,25,13,17.6,9.2,19,19,3,0,5.03,0,87.8,29.1,2.9,36.9,76.21207667,93.71634745,17.9,47,55.3
"Marsh, Alec",679525,17,74.1,342,85,39,24.9,11.4,47,50,3,9,5.69,8,89.7,40.4,9.6,41.8,79.17479794,94.34682931,29.5,45.5,36.1
"Rodriguez, Grayson",680570,23,122,515,129,42,25,8.2,59,62,7,4,4.35,23,89.8,33.4,7.3,43.7,79.61343345,94.42256285,26.3,50.4,46.9
"Gray, Josiah",680686,30,159,698,143,80,20.5,11.5,69,72,8,13,3.91,30,87.6,35,9.4,36.7,75.91230901,93.71081269,26.1,46.4,38
"Bradish, Kyle",680694,30,168.2,671,168,44,25,6.6,53,54,12,7,2.83,30,90,33.3,6.9,42,80.02399938,94.26840016,25.9,45.8,49.1
"Sandlin, Nick",680704,61,60,239,66,24,27.6,10,25,28,5,5,3.75,0,86.7,25.9,10.2,40.1,73.29521806,94.24311465,32,46.5,42.2
"Rom, Drew",680723,8,33.2,170,32,19,18.8,11.2,30,34,1,4,8.02,8,91.3,37,12.6,45.4,80.75474067,95.46333689,18.1,43.7,39.5
"Cox, Austin",680735,24,35.2,149,33,17,22.1,11.4,18,20,0,1,4.54,3,90.5,35.1,7.2,42.3,81.17164646,94.25856094,27.8,44.1,37.1
"Winder, Josh",680739,19,34.2,147,28,14,19,9.5,16,16,2,1,4.15,0,91,32.4,8.6,43.8,80.75892377,95.21828086,20.3,48.5,41
"Vásquez, Randy",681190,11,37.2,166,33,18,19.9,10.8,12,12,2,2,2.87,5,86.9,36.4,6.4,38.2,74.03822709,93.94495551,17.9,46,37.3
"Silseth, Chase",681217,16,52.1,221,56,26,25.3,11.8,23,26,4,1,3.96,8,88.7,35,10.2,42.3,77.22465783,94.36468577,27.4,44,48.9
"Varland, Gus",681402,16,20.1,103,20,16,19.4,15.5,15,18,1,1,6.64,0,93.7,34.8,10.6,57.6,85.36151606,96.4218,26.2,45.4,50
"Wantz, Andrew",681806,27,39.1,160,33,15,20.6,9.4,17,18,2,0,3.89,3,85.1,28.8,8.1,31.5,72.35970554,93.09052153,26.3,48.5,30.6
