Name,W,L,ERA,IP,H,R,ER,HR,BB,SO,HBP,BF,FIP,WHIP
Joey Lucchesi*,4,0,2.89,46.2,44,17,15,4,17,32,2,195,4.22,1.307
Seth Martinez,2,3,5.23,43,45,29,25,5,19,45,6,195,4.42,1.488
Chasen Shreve*,1,2,4.63,44.2,46,25,23,7,14,45,1,193,4.28,1.343
Jalen Beeks*,2,3,5.95,42.1,42,28,28,4,21,47,1,192,3.82,1.488
Dylan Covey,1,3,3.77,43,48,22,18,5,17,30,2,191,4.7,1.512
Bryan Shaw,0,0,4.14,45.2,39,21,21,3,17,40,6,190,3.87,1.226
Kenley Jansen,3,6,3.63,44.2,40,21,18,5,17,52,2,188,3.66,1.276
Chad Kuhl,0,4,8.45,38.1,47,38,36,8,28,31,3,187,6.78,1.957
Dustin May,4,1,2.63,48,29,14,14,1,16,34,2,187,3.23,0.938
Bryan Baker,4,3,3.6,45,33,19,18,4,24,51,1,186,3.81,1.267
José Soriano,1,3,3.64,42,33,22,17,4,23,56,7,185,3.97,1.333
Pete Fairbanks,2,4,2.58,45.1,26,14,13,3,20,68,4,184,2.7,1.015
Jovani Morán*,2,2,5.31,42.1,35,27,25,3,27,48,0,184,3.82,1.465
Cory Abbott,1,2,6.64,39.1,48,29,29,9,19,40,4,183,5.95,1.703
Hunter Gaddis,2,1,4.5,42,41,21,21,6,14,24,4,182,5.26,1.31
Yunior Marte,1,1,5.03,39.1,47,27,22,6,17,38,1,182,4.68,1.627
Nate Pearson,5,2,4.85,42.2,36,25,23,7,18,43,3,182,4.85,1.266
Angel Zerpa*,3,3,4.85,42.2,46,24,23,7,8,36,4,182,4.54,1.266
Tyler Alexander*,2,1,4.5,44,44,25,22,8,5,44,2,181,4.1,1.114
José Buttó,1,4,3.64,42,33,17,17,3,23,38,0,179,4.02,1.333
Drew Rasmussen,4,2,2.62,44.2,36,13,13,2,11,47,1,177,2.54,1.052
Brendan White,2,3,5.09,40.2,40,25,23,4,15,44,5,177,3.85,1.352
Yohan Ramírez,1,0,4.23,38.1,39,21,18,3,17,35,11,176,4.64,1.461
Michael Rucker,2,1,4.91,40.1,39,22,22,6,19,40,3,176,4.84,1.438
JT Chargois,1,0,3.61,42.1,35,17,17,3,18,35,0,174,3.8,1.252
Drey Jameson,3,1,3.32,40.2,40,15,15,6,18,37,1,174,4.76,1.426
Chris Devenski,6,4,4.46,42.1,36,24,21,6,11,42,1,173,3.96,1.11
Matt Waldron,1,3,4.35,41.1,39,20,20,9,12,31,0,173,5.46,1.234
José Alvarado*,0,2,1.74,41.1,30,15,8,3,18,64,0,172,2.41,1.161
Dallas Keuchel*,2,1,5.97,37.2,45,25,25,3,18,25,2,172,4.56,1.673
Jimmy Lambert,2,3,5.26,37.2,41,26,22,10,20,41,1,172,6.2,1.619
Nick Ramirez*,1,2,2.66,40.2,41,17,12,1,9,28,1,172,2.94,1.23
Keaton Winn,1,3,4.68,42.1,36,22,22,6,8,35,5,172,4.37,1.039
James Karinchak,2,5,3.23,39,24,18,14,6,28,52,3,171,4.97,1.333
Drew Rom*,1,4,8.02,33.2,51,34,30,7,19,32,0,170,5.75,2.079
Joe Kelly,2,5,4.12,39.1,29,22,18,3,18,60,2,168,2.72,1.195
Nick Lodolo*,2,1,6.29,34.1,50,24,24,10,10,47,7,166,5.79,1.748
Randy Vásquez,2,2,2.87,37.2,30,12,12,5,18,33,4,166,4.98,1.274
Tommy Kahnle,1,3,2.66,40.2,26,14,12,5,19,48,1,165,3.97,1.107
José Suarez*,1,3,8.29,33.2,46,32,31,10,20,28,1,165,7.32,1.96
Dylan Dodd*,2,2,7.6,34.1,53,29,29,9,12,15,1,164,6.92,1.893
Matt Koch,3,2,5.12,38.2,41,22,22,7,9,27,2,163,5.07,1.293
Shelby Miller,3,0,1.71,42,19,8,8,3,19,42,2,163,3.68,0.905
Peter Strzelecki,3,5,4.38,37,33,18,18,3,12,37,8,163,3.93,1.216
Vince Velasquez,4,4,3.86,37.1,35,16,16,4,14,37,1,162,3.87,1.313
John Brebbia,3,5,3.99,38.1,31,21,17,6,14,47,0,161,3.93,1.174
Jeff Brigham,1,3,5.26,37.2,26,23,22,9,18,42,5,160,5.96,1.168
Mauricio Llovera,2,3,4.89,35,36,25,19,3,15,29,4,160,4.34,1.457
Austin Voth,1,2,5.19,34.2,39,22,20,6,15,34,3,160,5.1,1.558
Andrew Wantz,2,0,3.89,39.1,28,18,17,4,15,33,1,160,4.12,1.093
Thaddeus Ward,0,0,6.37,35.1,29,26,25,7,28,30,2,160,6.68,1.613
Ryan Pepiot,2,1,2.14,42,27,10,10,7,5,38,3,159,4.18,0.762
Grant Hartwig,5,2,4.84,35.1,34,23,19,3,15,30,6,158,4.44,1.387
Karl Kauffmann,2,5,8.23,35,42,34,32,5,16,16,4,158,5.91,1.657
John King*,2,1,3.62,37.1,45,15,15,2,10,20,0,157,3.68,1.473
Joe Mantiply*,2,2,4.62,39,35,22,20,4,9,28,0,157,3.84,1.128
Kyle Wright,1,3,6.97,31,40,26,24,5,17,34,4,155,5.19,1.839
Grant Anderson,2,1,5.05,35.2,38,20,20,5,14,30,1,154,4.66,1.458
Gavin Hollowell,2,0,5.88,33.2,31,23,22,8,18,32,6,154,6.58,1.455
Ryan Borucki*,4,0,2.45,40.1,26,11,11,4,4,33,4,152,3.5,0.744
Beau Brieske,2,3,3.6,35,36,14,14,4,12,31,0,152,4,1.371
Carmen Mlodzinski,3,3,2.25,36,28,14,9,3,18,34,1,152,4.03,1.278
