Pick,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,Draft Year
43,HOU,Isaiah Hartenstein,,5,247,3888,1365,1186,350,0.578,0.31,0.68,15.7,5.5,4.8,1.4,13.1,0.162,1,2.9,2017
44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9,2017
45,HOU,Dillon Brooks,Oregon,6,345,9888,5002,1073,735,0.416,0.342,0.795,28.7,14.5,3.1,2.1,6.9,0.033,-3.8,-4.6,2017
46,PHI,Sterling Brown,SMU,6,268,4458,1431,891,268,0.419,0.363,0.796,16.6,5.3,3.3,1,6.6,0.071,-2.1,-0.1,2017
47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0,2017
48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5,2017
49,DEN,Vlatko Čančar,,4,130,1391,461,219,114,0.479,0.361,0.847,10.7,3.5,1.7,0.9,2.5,0.087,-2.1,0,2017
50,PHI,Mathias Lessort,,,,,,,,,,,,,,,,,,,2017
51,DEN,Monte Morris,Iowa State,6,342,8761,3583,865,1368,0.481,0.392,0.83,25.6,10.5,2.5,4,22.7,0.124,0.4,5.3,2017
52,NOP,Edmond Sumner,Xavier,5,161,2256,997,244,182,0.47,0.341,0.811,14,6.2,1.5,1.1,3.2,0.069,-3,-0.6,2017
53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1.2,0.1,2017
54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0,2017
55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,0.313,0.286,1,5,1.4,0.6,0.6,0,0.017,-3.9,0,2017
56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0,2017
57,BRK,Sasha Vezenkov,,,,,,,,,,,,,,,,,,,2017
58,NYK,Ognjen Jaramaz,,,,,,,,,,,,,,,,,,,2017
59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2,2017
60,ATL,Alpha Kaba,,,,,,,,,,,,,,,,,,,2017
1,PHO,Deandre Ayton,Arizona,5,303,9282,5046,3152,495,0.597,0.263,0.755,30.6,16.7,10.4,1.6,30.9,0.16,1.1,7.2,2018
2,SAC,Marvin Bagley III,Duke,5,208,5149,2760,1493,187,0.506,0.29,0.678,24.8,13.3,7.2,0.9,9.3,0.087,-1.9,0.1,2018
3,ATL,Luka Dončić,,5,330,11319,9100,2825,2631,0.466,0.338,0.739,34.3,27.6,8.6,8,39.2,0.166,7.2,26.4,2018
4,MEM,Jaren Jackson Jr.,Michigan State,5,267,7308,4391,1476,300,0.466,0.352,0.79,27.4,16.4,5.5,1.1,19.4,0.128,0.7,5,2018
5,DAL,Trae Young,Oklahoma,5,353,11941,8990,1302,3285,0.437,0.351,0.876,33.8,25.5,3.7,9.3,33,0.132,3.1,15.3,2018
